Time,Accuracy,Speed,BatteryPower,Acceleration
42.7,0.044,6.726,-5405.258,-0.75
42.8,0.043,6.666,-5451.225,-0.6
42.9,0.041,6.599,-5540.739,-0.67
43,0.04,6.533,-5939.94,-0.66
43.1,0.039,6.45,-6940.133,-0.83
43.2,0.038,6.393,-7626.566,-0.57
43.3,0.041,6.302,-8357.277,-0.91
43.4,0.042,6.217,-8667.373,-0.85
43.5,0.041,6.114,-8924.773,-1.03
43.6,0.04,6.017,-9128.201,-0.97
43.7,0.039,5.897,-9640.446,-1.2
43.8,0.039,5.81,-10345.842,-0.87
43.9,0.039,5.671,-11335.634,-1.39
44,0.039,5.567,-11820.691,-1.04
44.1,0.039,5.419,-11848.27,-1.48
44.2,0.038,5.324,-11524.034,-0.95
44.3,0.049,5.227,-11164.333,-0.97
44.4,0.067,5.099,-10466.695,-1.28
44.5,0.065,4.964,-9801.634,-1.35
44.6,0.063,4.851,-9086.031,-1.13
44.7,0.059,4.674,-8041.333,-1.77
44.8,0.057,4.556,-7325.192,-1.18
44.9,0.055,4.413,-6560.365,-1.43
45,0.053,4.303,-5902.278,-1.1
45.1,0.051,4.208,-5383.6,-0.95
45.2,0.05,4.125,-4925.858,-0.83
45.3,0.048,4.03,-4409.41,-0.95
45.4,0.047,3.966,-4056.594,-0.64
45.5,0.046,3.873,-3594.562,-0.93
45.6,0.045,3.815,-3304.645,-0.58
45.7,0.043,3.73,-2931.239,-0.85
45.8,0.042,3.691,-2740.707,-0.39
45.9,0.041,3.617,-2424.642,-0.74
46,0.041,3.571,-2209.203,-0.46
46.1,0.04,3.506,-1946.323,-0.65
46.2,0.039,3.461,-1759.384,-0.45
46.3,0.041,3.402,-1515.411,-0.59
46.4,0.042,3.337,-1280.623,-0.65
46.5,0.042,3.288,-1111.164,-0.49
46.6,0.04,3.229,-834.877,-0.59
46.7,0.04,3.187,-702.56,-0.42
46.8,0.04,3.145,-586.801,-0.42
46.9,0.04,3.103,-456.771,-0.42
47,0.039,3.071,-391.283,-0.32
47.1,0.043,3.029,-303.381,-0.42
47.2,0.048,2.997,-250.619,-0.32
47.3,0.05,2.955,-193.153,-0.42
47.4,0.049,2.929,-204.088,-0.26
47.5,0.047,2.884,-278.656,-0.45
47.6,0.046,2.855,-316.58,-0.29
47.7,0.044,2.811,-332.399,-0.44
47.8,0.049,2.791,-307.539,-0.2
47.9,0.073,2.743,-226.387,-0.48
48,0.071,2.718,-164.468,-0.25
48.1,0.069,2.684,-74.431,-0.34
48.2,0.066,2.648,2.662,-0.36
48.3,0.063,2.611,87.237,-0.37
48.4,0.061,2.577,182.204,-0.34
48.5,0.058,2.542,275.189,-0.35
48.6,0.056,2.514,344.68,-0.28
48.7,0.054,2.489,430.154,-0.25
48.8,0.053,2.464,510.964,-0.25
48.9,0.051,2.435,579.66,-0.29
49,0.05,2.413,650.915,-0.22
49.1,0.048,2.377,759.674,-0.36
49.2,0.047,2.347,838.741,-0.3
49.3,0.046,2.314,926.116,-0.33
49.4,0.044,2.271,1037.978,-0.43
49.5,0.043,2.22,1116.143,-0.51
49.6,0.042,2.166,1169.012,-0.54
49.7,0.042,2.099,1224.342,-0.67
49.8,0.043,2.054,1272.631,-0.45
49.9,0.066,1.974,1295.108,-0.8
50,0.079,1.912,1260.318,-0.62
50.1,0.076,1.836,1318.483,-0.76
50.2,0.073,1.717,1276.048,-1.19
50.3,0.07,1.623,1212.092,-0.94
50.4,0.067,1.521,1214.411,-1.02
50.5,0.064,1.415,1210.878,-1.06
50.6,0.062,1.339,1207.607,-0.76
50.7,0.06,1.234,1192.57,-1.05
50.8,0.058,1.134,1194.441,-1
50.9,0.057,1.058,1209.12,-0.76
51,0.055,0.967,1281.744,-0.91
51.1,0.053,0.906,1377.301,-0.61
51.2,0.051,0.844,1483.565,-0.62
51.3,0.05,0.782,1532.34,-0.62
51.4,0.048,0.722,1554.956,-0.6
51.5,0.047,0.666,1578.9,-0.56
51.6,0.046,0.622,1613.443,-0.44
51.7,0.045,0.589,1644.194,-0.33
51.8,0.046,0.565,1665.135,-0.24
51.9,0.046,0.538,1672.944,-0.27
52,0.049,0.513,1662.21,-0.25
52.1,0.06,0.488,1664.477,-0.25
52.2,0.065,0.466,1674.519,-0.22
52.3,0.064,0.444,1670.548,-0.22
52.4,0.062,0.426,1674.049,-0.18
52.5,0.06,0.405,1673.68,-0.21
52.6,0.057,0.381,1666.193,-0.24
52.7,0.058,0.356,1647.063,-0.25
52.8,0.058,0.3,1539.255,-0.56
52.9,0.056,0.264,1470.12,-0.36
53,0.053,0.191,1347.47,-0.73
53.1,0.052,0.145,1299.656,-0.46
53.2,0.05,0.093,1277.857,-0.52
53.3,0.049,0.033,1300.664,-0.6
53.4,0.047,-0.015,1264.088,-0.48
53.5,0.048,-0.046,1215.121,-0.31
53.6,0.066,-0.064,1222.321,-0.18
53.7,0.07,-0.044,1218.067,0.2
53.8,0.068,-0.002,1220.366,0.42
53.9,0.066,0.009,1226.162,0.11
54,0.063,0.003,1220.104,-0.06
54.1,0.06,0,1209.54,-0.03
54.2,0.057,0,1196.668,0
