Time,Accuracy,Speed,BatteryPower,Acceleration,BatteryPower_SG,Speed_SG,Acceleration_SG
414.6,0.053,13.964,428.403,-0.12,416.218494172494,13.9627832167832,-0.159358974358988
414.7,0.051,13.944,418.722,-0.2,419.215321678322,13.946972027972,-0.151794871794877
414.8,0.049,13.931,415.536,-0.13,419.935130536131,13.9324242424242,-0.141771561771575
414.9,0.048,13.92,419.013,-0.11,415.539424242424,13.9186177156177,-0.140442890442908
415.0,0.047,13.904,413.815,-0.16,408.822813519814,13.9043356643357,-0.141596736596709
415.1,0.045,13.893,403.96,-0.11,409.100832167832,13.8902983682984,-0.138904428904433
415.2,0.044,13.878,403.483,-0.15,412.581300699301,13.8765547785548,-0.145303030303045
415.3,0.043,13.858,401.761,-0.2,414.020358974359,13.8612377622378,-0.151596736596744
415.4,0.042,13.847,425.882,-0.11,415.626198135198,13.8462354312354,-0.139813519813527
415.5,0.041,13.835,441.413,-0.12,419.022433566434,13.8332750582751,-0.124487179487163
415.6,0.04,13.818,418.77,-0.17,424.068871794872,13.821337995338,-0.118018648018639
415.7,0.043,13.805,411.827,-0.13,426.696755244755,13.8096713286713,-0.117657342657347
415.8,0.048,13.8,424.761,-0.05,425.416606060606,13.7978065268065,-0.124487179487181
415.9,0.046,13.792,431.091,-0.08,424.872128205128,13.7847738927739,-0.127074592074592
416.0,0.045,13.775,435.398,-0.17,429.082128205128,13.7723916083916,-0.121794871794857
416.1,0.044,13.755,426.788,-0.2,438.15955011655,13.7604149184149,-0.123601398601412
416.2,0.048,13.743,430.193,-0.12,442.398979020979,13.7476713286713,-0.134055944055954
416.3,0.053,13.733,457.912,-0.1,439.19210955711,13.7336037296037,-0.140699300699304
416.4,0.051,13.724,453.647,-0.09,428.200275058275,13.7195314685315,-0.13805361305362
416.5,0.049,13.709,443.257,-0.15,402.947853146853,13.705993006993,-0.136363636363588
416.6,0.047,13.693,425.959,-0.16,385.095787878788,13.6922587412587,-0.144580419580426
416.7,0.045,13.675,429.415,-0.18,432.875839160839,13.6770769230769,-0.150932400932433
416.8,0.044,13.66,471.369,-0.15,559.589048951049,13.6620722610723,-0.151013986013994
416.9,0.043,13.647,604.553,-0.13,757.402006993007,13.6468741258741,-0.140489510489522
417.0,0.048,13.635,971.505,-0.12,1020.20725407925,13.6339743589744,-0.12019813519811
417.1,0.052,13.622,1495.394,-0.13,1320.28316783217,13.6228344988345,-0.108613053613051
